"GID"	"ENV"	"Yield"
"1"	"Oat179"	"Env1"	6317.605759
"2"	"Oat130"	"Env2"	6335.474784
"3"	"Oat303"	"Env4"	7259.273795
"4"	"Oat270"	"Env1"	6916.124441
"5"	"Oat202"	"Env4"	6845.943248
"6"	"Oat233"	"Env3"	5750.000652
"7"	"Oat283"	"Env2"	6479.485537
"8"	"Oat120"	"Env2"	5691.542352
"9"	"Oat236"	"Env3"	6466.698938
"10"	"Oat39"	"Env2"	6646.784957
"11"	"Oat54"	"Env3"	5578.015477
"12"	"Oat224"	"Env3"	5961.264931
"13"	"Oat79"	"Env4"	5498.178263
"14"	"Oat41"	"Env4"	6934.729992
"15"	"Oat327"	"Env4"	7536.448147
"16"	"Oat290"	"Env4"	7143.515736
"17"	"Oat246"	"Env2"	6015.104906
"18"	"Oat281"	"Env3"	5408.392324
"19"	"Oat46"	"Env4"	7269.190297
"20"	"Oat23"	"Env1"	6616.298677
"21"	"Oat74"	"Env4"	6253.238546
"22"	"Oat212"	"Env4"	7720.248238
"23"	"Oat251"	"Env1"	6948.063648
"24"	"Oat204"	"Env2"	6701.859599
"25"	"Oat171"	"Env3"	7083.016622
"26"	"Oat297"	"Env4"	8979.334446
"27"	"Oat104"	"Env4"	6616.975848
"28"	"Oat113"	"Env4"	7256.721699
"29"	"Oat73"	"Env4"	6943.619532
"30"	"Oat8"	"Env3"	3944.849099
"31"	"Oat182"	"Env1"	6037.656992
"32"	"Oat320"	"Env1"	6542.392878
"33"	"Oat147"	"Env3"	6018.99093
"34"	"Oat116"	"Env4"	7227.662556
"35"	"Oat202"	"Env3"	4966.394103
"36"	"Oat152"	"Env4"	6085.20517
"37"	"Oat154"	"Env1"	5691.234464
"38"	"Oat27"	"Env1"	5990.260357
"39"	"Oat50"	"Env3"	5355.5735
"40"	"Oat297"	"Env2"	7195.648473
"41"	"Oat151"	"Env4"	8024.11783
"42"	"Oat157"	"Env2"	6038.908934
"43"	"Oat101"	"Env4"	6622.38685
"44"	"Oat92"	"Env4"	6223.523504
"45"	"Oat279"	"Env2"	6678.985729
"46"	"Oat127"	"Env4"	6937.704071
"47"	"Oat283"	"Env1"	6432.781219
"48"	"Oat236"	"Env4"	7192.509502
"49"	"Oat138"	"Env2"	6402.328309
"50"	"Oat159"	"Env1"	6156.103343
"51"	"Oat145"	"Env2"	7208.98164
"52"	"Oat281"	"Env4"	7293.373343
"53"	"Oat190"	"Env1"	5838.911111
"54"	"Oat135"	"Env3"	6443.488987
"55"	"Oat210"	"Env4"	6807.738881
"56"	"Oat284"	"Env3"	6484.103637
"57"	"Oat215"	"Env2"	6470.337818
"58"	"Oat278"	"Env2"	6847.706988
"59"	"Oat243"	"Env4"	7187.195388
"60"	"Oat130"	"Env1"	6532.921063
"61"	"Oat42"	"Env2"	6466.932605
"62"	"Oat292"	"Env4"	6666.971962
"63"	"Oat326"	"Env2"	5927.76098
"64"	"Oat32"	"Env3"	6166.686623
"65"	"Oat9"	"Env4"	6848.706462
"66"	"Oat71"	"Env3"	5620.164172
"67"	"Oat43"	"Env2"	6857.415339
